code,keyword,commentaire,ensemblid,ligne_es,digest_neo5,digest_neo3
E214,Kctd15,EPD0177_1_B11,ENSMUSG00000030499,JM8N4,"Ase I, Sca I, Pac I/Sbf I","Drd I, EcoRI,XhoI/NheI"
E215,Crygn,EPD0203_1_G06,ENSMUSG00000038135,JM8N4,"Ase I, BspH I","Bgl I, Hind III"
E215,Crygn,EPD0203_1_F05,ENSMUSG00000038135,JM8N4,"Ase I, BspH I","Bgl I, Hind III"
E215,Crygn,EPD0203_1_F08,ENSMUSG00000038135,JM8N4,"Ase I, BspH I","Bgl I, Hind III"
E216,Heatr3,HEPD0527_5_E04,ENSMUSG00000031657,JM8N4,"PshAI, BspH I","Stu I, Afl II, Apa I"
E216,Heatr3,HEPD0527_5_A04,ENSMUSG00000031657,JM8N4,"PshAI, BspH I","Stu I, Afl II, Apa I"
E217,Fkbp9,HEPD0527_4_G05,ENSMUSG00000029781,JM8N4,"Afl II, Bpl I, Swa I","Eco NI, Hind III, PshAI"
E217,Fkbp9,HEPD0527_4_D08,ENSMUSG00000029781,JM8N4,"Afl II, Bpl I, Swa I","Eco NI, Hind III, PshAI"
E218,Adam15,HEPD0527_8_C09,ENSMUSG00000028041,JM8N4,"Ase I, BspH I","Bgl I, Xmn I"
E218,Adam15,HEPD0527_8_A10,ENSMUSG00000028041,JM8N4,"Ase I, BspH I","Bgl I, Xmn I"
E219,Pla2g4f,HEPD0527_2_E02,ENSMUSG00000046971,JM8N4,"Sca I, Nsi I","Nde I, Spe I"
E219,Pla2g4f,HEPD0527_2_D03,ENSMUSG00000046971,JM8N4,"Sca I, Nsi I","Nde I, Spe I"
E220,Cd160,HEPD0527_6_E07,"ENSMUSG00000038304 ",JM8N4,"Ase I, Spe I","EcoRI, Swa I"
E220,Cd160,HEPD0527_6_E05,"ENSMUSG00000038304 ",JM8N4,"Ase I, Spe I","EcoRI, Swa I"
E221,Ppp6c,HEPD0527_7_D10,ENSMUSG00000026753,JM8N4,"Bpl I, SgrA I/Sbf I","BstXI, Sca I"
E221,Ppp6c,HEPD0527_7_E11,ENSMUSG00000026753,JM8N4,"Bpl I, SgrA I/Sbf I","BstXI, Sca I"
E222,Atad2b,HEPD0526_3_F10,ENSMUSG00000020631,JM8N4,"Swa I, Nsi I","Eco NI, Xmn I"
E222,Atad2b,HEPD0526_3_C09,ENSMUSG00000020631,JM8N4,"Swa I, Nsi I","Eco NI, Xmn I"
E223,Bphl,HEPD0526_3_D04,ENSMUSG00000038286,JM8N4,"Afl II, Bpl I","ApaL I, Nde I"
E223,Bphl,HEPD0526_3_A03,"ENSMUSG00000038286",JM8N4,"Afl II, Bpl I","ApaL I, Nde I"
E224,Atp6v1d,HEPD0526_6_E05,"ENSMUSG00000021114",JM8N4,"PshAI/Pac I","Drd I"
E224,Atp6v1d,HEPD0526_6_E08,"ENSMUSG00000021114",JM8N4,"PshAI/Pac I","Drd I"
E227,Tmem63b,EPD0226_1_A08,"ENSMUSG00000036026",JM8N4,"SgrA I/PshAI","Hind III, Sac II, SexAI"
E227,Tmem63b,EPD0226_1_C05,"ENSMUSG00000036026",JM8N4,"SgrA I/PshAI","Hind III, Sac II, SexAI"
E227,Tmem63b,EPD0226_1_G07,"ENSMUSG00000036026",JM8N4,"SgrA I/PshAI","Hind III, Sac II, SexAI"
E225,D2Ertd750e,EPD0125_3_E05,"ENSMUSG00000027331",JM8N4,"Nsi I, PshAI","Drd I, EcoRI"
E225,D2Ertd750e,EPD0125_3_G08,"ENSMUSG00000027331",JM8N4,"Nsi I, PshAI","Drd I, EcoRI"
E225,D2Ertd750e,EPD0125_3_H05,"ENSMUSG00000027331",JM8N4,"Nsi I, PshAI","Drd I, EcoRI"
E226,Tgif2,EPD0113_4_H04,"ENSMUSG00000062175",JM8N4,"Afl II, Hind III","Ssp I, Nde I"
E226,Tgif2,EPD0113_4_F05,"ENSMUSG00000062175",JM8N4,"Afl II, Hind III","Ssp I, Nde I"
E226,Tgif2,EPD0113_4_C06,"ENSMUSG00000062175",JM8N4,"Afl II, Hind III","Ssp I, Nde I"
E228,Tmem63c,EPD0120_3_F02,"ENSMUSG00000034145",JM8N4,"Afl II, Ase I, Pac I","BstXI, Dra III, Drd I, Spe I"
E228,Tmem63c,EPD0120_3_G04,"ENSMUSG00000034145",JM8N4,"Afl II, Ase I, Pac I","BstXI, Dra III, Drd I, Spe I"
E228,Tmem63c,EPD0120_3_H03,"ENSMUSG00000034145",JM8N4,"Afl II, Ase I, Pac I","BstXI, Dra III, Drd I, Spe I"
E229,Afm,EPD0288_3_A08,"ENSMUSG00000029369",JM8N4,"Bpl I, Swa I","Apa I, Eco NI"
E230,Sema6c,EPD0203_3_B05,"ENSMUSG00000038777",JM8N4,"BspH I, Sca I","Apa I, Nhe I"
E231,Hdx,EPD0203_3_C11,ENSMUSG00000034551,JM8N4,"Nsi I, Pac I","Apa I, Avr II"
E233,Cntnap1,EPD0198_2_B10,ENSMUSG00000017167,JM8N4,"Ase I, BspH I","ApaL I, Nhe I"
E232,"Cryba4 ",EPD0214_2_A04,"ENSMUSG00000066975 ",JM8N4,"Bpl I, Ase I","Apa I, Ssp I"
E234,Bmx,EPD0198_1_A06,ENSMUSG00000031377,JM8N4,"Afl II, Ase I","ApaL I, Stu I"
E235,Ctsd,EPD0105_1_A12,"ENSMUSG00000007891 ",JM8F6,"Nsi I/Ase I, PshAI","Ssp I, Sph I"
E235,Ctsd,EPD0105_1_G12,"ENSMUSG00000007891 ",JM8F6,"Nsi I/Ase I, PshAI","Ssp I, Sph I"
E235,Ctsd,EPD0105_1_H11,"ENSMUSG00000007891 ",JM8F6,"Nsi I/Ase I, PshAI","Ssp I, Sph I"
E236,Ahsa2,EPD0209_2_C03,ENSMUSG00000020288,JM8N4,"Sbf I/Pac I","Afl II, Apa I"
E237,Dusp11,EPD0209_1_C08,ENSMUSG00000030002,JM8N4,"Afl II","Avr II, Stu I"
E238,Plekhg3,HEPD0530_4_D07,ENSMUSG00000052609,JM8N4,"Afl II, Sfi I","Afl III, Nhe I"
E239,Ptdss1,HEPD0530_2_C07,ENSMUSG00000021518,JM8N4,"Nsi I","Avr II, Drd I"
E241,Gm166,HEPD0530_3_B05,ENSMUSG00000057176,JM8N4,"Afl II, Nsi I","ApaL I, Spe I"
E242,Pold1,HEPD0536_4_G11,ENSMUSG00000038644,JM8N4,"Mfe I, Sbf I","Nhe I, Xmn I"
E243,Cdc26,HEPD0536_4_G08,ENSMUSG00000066149,JM8N4,"PshAI, Nsi I","BspH I, SexAI"
E244,Pigu,HEPD0536_5_F10,ENSMUSG00000038383,JM8N4,"Spe I, BspH I","Drd I, PshAI"
E245,Gm12258,HEPD0536_3_B09,"ENSMUSG00000072915 ENSMUSG0000",JM8N4,"Afl II, BspH I","ApaL I, Bgl I"
E240,Fut8,HEPD0530_1_D05,ENSMUSG00000021065,JM8N4,"Eco NI, Sca I","Afl II, Nhe I"
